data;ano;mes
20210520;2021;5
20210521;2021;5
20210522;2021;5
20210523;2021;5
20210524;2021;5
20210525;2021;5
20210526;2021;5
20210527;2021;5
20210528;2021;5
20210529;2021;5
20210530;2021;5
20210531;2021;5
20210601;2021;6
20210602;2021;6
20210603;2021;6
20210604;2021;6
20210605;2021;6
20210606;2021;6
20210607;2021;6
20210608;2021;6
20210609;2021;6
20210610;2021;6
20210611;2021;6
20210612;2021;6
20210613;2021;6
20210614;2021;6
20210615;2021;6
20210616;2021;6
20210617;2021;6
20210618;2021;6
20210619;2021;6
20210620;2021;6
20210621;2021;6
20210622;2021;6
20210623;2021;6
20210624;2021;6
20210625;2021;6
20210626;2021;6
20210627;2021;6
20210628;2021;6
20210629;2021;6
20210630;2021;6
20210701;2021;7
20210702;2021;7
20210703;2021;7
20210704;2021;7
20210705;2021;7
20210706;2021;7
20210707;2021;7
20210708;2021;7
20210709;2021;7
20210710;2021;7
20210711;2021;7
20210712;2021;7
20210713;2021;7
20210714;2021;7
20210715;2021;7
20210716;2021;7
20210717;2021;7
20210718;2021;7
20210719;2021;7
20210720;2021;7
20210721;2021;7
20210722;2021;7
20210723;2021;7
20210724;2021;7
20210725;2021;7
20210726;2021;7
20210727;2021;7
20210728;2021;7
20210729;2021;7
20210730;2021;7
20210731;2021;7
20210801;2021;8
20210802;2021;8
20210803;2021;8
20210804;2021;8
20210805;2021;8
20210806;2021;8
20210807;2021;8
20210808;2021;8
20210809;2021;8
20210810;2021;8
20210811;2021;8
20210812;2021;8
20210813;2021;8
20210814;2021;8
20210815;2021;8
20210816;2021;8
20210817;2021;8
20210818;2021;8
20210819;2021;8
20210820;2021;8
20210821;2021;8
20210822;2021;8
20210823;2021;8
20210824;2021;8
20210825;2021;8
20210826;2021;8
20210827;2021;8
20210828;2021;8
20210829;2021;8
20210830;2021;8
20210831;2021;8
